东东电视,#genre#
关于,https://7286.kstore.space/%E4%BD%9C%E8%80%85%E8%AF%B4.mp4
中国直播V4*6,#genre#
CCTV-1综合,http://114.254.33.171:18888/udp/239.3.1.129:8008
CCTV-2财经,http://114.254.33.171:18888/udp/239.3.1.60:8084
CCTV-3综艺,http://114.254.33.171:18888/udp/239.3.1.172:8001
CCTV-4中文国际,http://114.254.33.171:18888/udp/239.3.1.105:8092
CCTV-4中文国际欧洲,http://114.254.33.171:18888/udp/239.3.1.213:4220
CCTV-4中文国际美洲,http://114.254.33.171:18888/udp/239.3.1.214:4220
CCTV-5体育,http://114.254.33.171:18888/udp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.254.33.171:18888/udp/239.3.1.130:8004
CCTV-6电影,http://114.254.33.171:18888/udp/239.3.1.174:8001
CCTV-7国防军事,http://114.254.33.171:18888/udp/239.3.1.61:8104
CCTV-8电视剧,http://114.254.33.171:18888/udp/239.3.1.175:8001
CCTV-9纪录,http://114.254.33.171:18888/udp/239.3.1.62:8112
CCTV-10科教,http://114.254.33.171:18888/udp/239.3.1.63:8116
CCTV-11戏曲,http://114.254.33.171:18888/udp/239.3.1.152:8120
CCTV-12社会与法,http://114.254.33.171:18888/udp/239.3.1.64:8124
CCTV-13新闻,http://114.254.33.171:18888/udp/239.3.1.124:8128
CCTV-14少儿,http://114.254.33.171:18888/udp/239.3.1.65:8132
CCTV-15音乐,http://114.254.33.171:18888/udp/239.3.1.153:8136
CCTV-17农业农村,http://114.254.33.171:18888/udp/239.3.1.151:8144
CCTV-4K超高清,http://114.254.33.171:18888/udp/239.3.1.245:2000
湖南卫视,http://114.254.33.171:18888/udp/239.3.1.132:8012
东方卫视,http://114.254.33.171:18888/udp/239.3.1.136:8032
浙江卫视,http://114.254.33.171:18888/udp/239.3.1.137:8036
江苏卫视,http://114.254.33.171:18888/udp/239.3.1.135:8028
深圳卫视,http://114.254.33.171:18888/udp/239.3.1.134:8020
广东卫视,http://114.254.33.171:18888/udp/239.3.1.142:8048
安徽卫视,http://114.254.33.171:18888/udp/239.3.1.211:8064
天津卫视,http://114.254.33.171:18888/udp/239.3.1.141:1234
重庆卫视,http://114.254.33.171:18888/udp/239.3.1.122:8160
山东卫视,http://114.254.33.171:18888/udp/239.3.1.209:8052
黑龙江卫视,http://114.254.33.171:18888/udp/239.3.1.133:8016
河北卫视,http://114.254.33.171:18888/udp/239.3.1.148:8072
辽宁卫视,http://114.254.33.171:18888/udp/239.3.1.210:8056
湖北卫视,http://114.254.33.171:18888/udp/239.3.1.138:8044
吉林卫视,http://114.254.33.171:18888/udp/239.3.1.240:8172
贵州卫视,http://114.254.33.171:18888/udp/239.3.1.149:8076
东南卫视,http://114.254.33.171:18888/udp/239.3.1.156:8148
江西卫视,http://114.254.33.171:18888/udp/239.3.1.123:8164
海南卫视,http://114.254.33.171:18888/udp/239.3.1.45:8304
云南卫视,http://114.254.33.171:18888/udp/239.3.1.26:8108
兵团卫视,http://114.254.33.171:18888/udp/239.3.1.144:4120
厦门卫视,http://114.254.33.171:18888/udp/239.3.1.143:4120
四川卫视,http://114.254.33.171:18888/udp/239.3.1.29:8288
大湾区卫视,http://114.254.33.171:18888/udp/239.3.1.161:8001
宁夏卫视,http://114.254.33.171:18888/udp/239.3.1.46:8124
山西卫视,http://114.254.33.171:18888/udp/239.3.1.42:8172
广西卫视,http://114.254.33.171:18888/udp/239.3.1.39:8300
新疆卫视,http://114.254.33.171:18888/udp/239.3.1.48:8160
河南卫视,http://114.254.33.171:18888/udp/239.3.1.27:8128
甘肃卫视,http://114.254.33.171:18888/udp/239.3.1.49:8188
西藏卫视,http://114.254.33.171:18888/udp/239.3.1.47:8164
三沙卫视,http://114.254.33.171:18888/udp/239.3.1.155:4120
陕西卫视,http://114.254.33.171:18888/udp/239.3.1.41:8140
