中国直播,#genre#
CCTV-1综合,http://223.105.252.35/PLTV/3/224/3221228213/index.m3u8?icpid=3&from=1&hms_devid=6848 
CCTV-2财经,http://223.105.252.42/PLTV/3/224/3221228300/index.m3u8?icpid=3&from=1&hms_devid=6881 
CCTV-3综艺,http://223.105.252.52/PLTV/3/224/3221228392/index.m3u8?icpid=3&from=1&hms_devid=6884 
CCTV-4中文国际,http://223.105.252.49/PLTV/3/224/3221227658/index.m3u8?icpid=3&from=1&hms_devid=6883 
CCTV-5体育,http://223.105.252.53/PLTV/3/224/3221228395/index.m3u8?icpid=3&from=1&hms_devid=6876 
CCTV-5+体育赛事,http://223.105.252.37/PLTV/3/224/3221228277/index.m3u8?icpid=3&from=1&hms_devid=6875 
CCTV-6电影,http://223.105.252.39/PLTV/3/224/3221228280/index.m3u8?icpid=3&from=1&hms_devid=6882 
CCTV-7国防军事,http://223.105.252.38/PLTV/4/224/3221227314/index.m3u8?icpid=4&from=1&hms_devid=6875 
CCTV-8电视剧,http://223.105.252.56/PLTV/3/224/3221228398/index.m3u8?icpid=3&from=1&hms_devid=6877 
CCTV-9纪录,http://223.105.252.49/PLTV/3/224/3221227659/index.m3u8?icpid=3&from=1&hms_devid=6883 
CCTV-10科教,http://223.105.252.48/PLTV/3/224/3221227620/index.m3u8?icpid=3&from=1&hms_devid=6880 
CCTV-11戏曲,http://223.105.252.52/PLTV/3/224/3221227720/index.m3u8?icpid=3&from=1&hms_devid=6884 
CCTV-12社会与法,http://223.105.252.47/PLTV/3/224/3221227655/index.m3u8?icpid=3&from=1&hms_devid=6880 
CCTV-13新闻,http://223.105.252.50/PLTV/3/224/3221228324/index.m3u8?icpid=3&from=1&hms_devid=6883 
CCTV-14少儿,http://223.105.252.48/PLTV/3/224/3221227693/index.m3u8?icpid=3&from=1&hms_devid=6880 
CCTV-15音乐,http://223.105.252.52/PLTV/3/224/3221227723/index.m3u8?icpid=3&from=1&hms_devid=6884 
CCTV-16奥林匹克,http://223.105.252.55/PLTV/4/224/3221228144/index.m3u8?icpid=4&from=1&hms_devid=6877
CCTV-17农业农村,http://223.105.252.45/PLTV/3/224/3221227592/index.m3u8?icpid=3&from=1&hms_devid=6878 
CCTV-4K超高清, http://223.105.252.59/PLTV/4/224/3221228228/index.m3u8?icpid=4&from=1&hms_devid=6885
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv

CCTV-1综合,https://api.livednow.org/migu/608807420?sign=gAAAAABnJcJqONXJva4TySqKVwkHLHby6Ne_WRDndhTk_GS6KA-nBZI-nPc8RaYfnLJYnZOi1_gpZX90FSquN6BF0XzcOnsBN41Kfi9k-GihR8VqmFvGDaU3-w7RPpKH_jQp1rc5eqRkG97TL1ZanN0d0KISy_vT_x2wMEchVQyRwJVbcr-5Q8MDl1WIvSdo9b0tlPwCujaaYIRxzFT-4iEr-NoUcuO0hw%3D%3D
CCTV-2财经,https://api.livednow.org/migu/631780532?sign=gAAAAABnJcJqr0fwyjCRZenumPiYq29AgCGZbexK2XyM9exSQfwePDL4rwLxMaYmUy5BI5tmZ3p5Opg3XGESQyj1Myyx8xlfa--CzghtRa5MzC5lgOOROQFokKNIjS1xgPhehkOToP6coFx9T1FJaYtv8R7vSMPYGiBtsqx-CdWfMNReSPjRaDJSSrjZ0WKCW5GajQiFiD1fOBTLjS-S7V-uzyIxCqKWiQ%3D%3D
CCTV-3综艺,https://api.livednow.org/migu/624878271?sign=gAAAAABnJcJqBzuFtK_e-R8Y5zzuNWtH9dD5ErIUOw3PaGq-2cUt_ty4tVxaFlKDox0cB51jc5h1UbnYdWwVB34WOYuNc8lg2HAeZSq8eQxhLSx7-W74CNR6KtgxXvTUzW_5zsQ33PZEpqm7sIuxliL32bQtzxcIIdpid2Gub7vsNYzKJWuVjAicsjoVCenU41Q5dMi8XPDUfnmgkYYiwWzmBdMXqP4I5A%3D%3D
CCTV-4中文国际,https://api.livednow.org/migu/631780421?sign=gAAAAABnJcJqz7oNO-xridbK_3LKb0rcdjVs_WY_BR-BFoq8eOg8Qvn3RMaRgOohlrGPc3mJhNalk-OevwcUL7y3ObKzAeZuWtWBxqyoXyW34cmtmAnNx9EC9rXDbjauxADNT6Li789Xmb3ezb7EUlD91o2aUf1qh-cxlGyyOjS9aZEyU-1CBA-uJhURtKm5m9k2wQBuSTDlSq_X2EYHz1jXzPXsKoJ7eA%3D%3D
CCTV-4中文国际欧洲,https://api.livednow.org/migu/608807419?sign=gAAAAABnJcJqqvN9kTkAiHC8GdaGGmmbLi62YsEYOIuOPI9Lac2D2d4KyQai_cbU9d1Blh-fo0li6MavI-f58Er_gvlCd7t5C35cmlxT7M-_SLOpCAeJgeSr4BD0t2Qt_Lrj7ZNsq8dCuNIPRnB-w0rJUjAiBMu0RFBQJ30fHcImYBrTGcTWrqXF53LpJSl0ymgtMaVrO9Y-HiqIUJkzyN8e6BTQQykZiQ%3D%3D
CCTV-4中文国际美洲,https://api.livednow.org/migu/608807416?sign=gAAAAABnJcJqws7IJW3h6BlGge9WIDW3Fy0FRiXV5z_xNzVGu8g8B-0qw7tvyNyCVut8pWQCvFvKbhe1hY8cYKFLnYEBy0nIPd9wQZ407ZVV5Ca7zzDKkBo_MoXzKATjpoRRMIpGgGGhNcq4KIeU-5Wtu25PoFpJqE2csWr4hhqYu1_-DhfSOhUE6aePTI8INh7crU01j-d217PMhlw6fqS0cRoIqdQ3Ww%3D%3D
CCTV-5体育,https://api.livednow.org/migu/641886683?sign=gAAAAABnJcJq1zvWEm2fLwSljJPThpBYL_E8K7V3Vjqwa1MKKvqUi_E3bRWybwa_x3oX2iF9HH-wEJfMaE_5OvwPzGGu3NicPIuQA4yciDbKNZf7joK5ZUFzK0L36mvXUWWl9JorCKCXbQ62LAhIlbf2kzScSCcb9oUHPKWds9wWjWjam34gaFfwW7rHxvnvlcqRaj88yHfSrWqHJghFI-bLaFvNz1HoPw%3D%3D
CCTV-5+体育赛事,https://api.livednow.org/migu/641886773?sign=gAAAAABnJcJqTze6PuXdG9BEej5eW4BLImQigfoMaUf8uqVsrTWU2XPcpNAQkBcD0muMqEF9LzvxjIx7EBojiQbkHBD5j0Jhgf5-rBwl8jU3IJw5gsTQ2K6WngtWzyYcEmpoNgChlKkREdafyGUHTP8U4-G_ggVp1wP9_OuDXbCnXAQZKWP8e_nvjKVAHWsAfsrkcP2wHVy9aBq_REPOhp0w5W60Na3IcQ%3D%3D
